"","Grow.degd","For.cover","NDVI","For.diver","Agr.diver","For.fragm","hab_type","richness"
"1",330,99.8675,60.38135593,4.919934448,73.02345857,12.38125,"forest",8
"2",330,0,22.88135593,0,98.30250409,0,"forest",1
"3",330,38.2825,11.86440678,39.42608096,86.70781512,37.70375,"forest",5
"4",330,11.4125,19.06779661,13.23112497,73.05329785,87.4475,"forest",7
"5",330,0,2.118644068,0,77.80114955,0,"forest",2
"6",170,100,54.02542373,60.60872576,91.37852162,12.5,"forest",7
"7",170,100,51.05932203,51.25857849,51.34843024,12.5,"forest",5
"8",170,96.6525,48.09322034,75.71486619,68.11408899,12.5,"forest",4
"9",170,83.0825,55.08474576,72.4294857,91.59494494,37.5,"forest",4
"10",170,56.605,73.09322034,88.02539814,79.80612947,62.50125,"forest",5
"11",170,40.1475,80.08474576,100,56.09272784,62.50125,"forest",5
"12",290,100,100,41.57853954,0,12.5,"forest",15
"13",290,100,80.08474576,15.3738533,0,12.5,"forest",16
"14",290,51.235,83.26271186,61.52195444,6.160878493,75,"forest",15
"15",290,14.01,61.44067797,54.86316127,4.4702818,100,"forest",13
"16",290,18.0325,84.11016949,26.60076321,0,62.5,"forest",13
"17",290,0,52.75423729,0,8.397127269,0,"forest",6
"18",250,99.7775,58.68644068,51.68304703,80.94786458,12.50375,"forest",2
"19",250,93.53,74.57627119,34.08580691,49.49745169,24.99875,"forest",4
"20",250,59.7575,46.8220339,59.29074861,57.30805257,37.5,"forest",1
"21",250,55.6225,29.02542373,63.76087967,42.54611543,100,"forest",1
"22",250,8.9475,1.483050847,0,58.2290944,25.00125,"forest",0
"23",250,7.2825,9.322033898,22.61248967,46.18206908,62.50125,"forest",0
"24",310,86.6725,97.24576271,65.13180223,54.39581366,12.57,"forest",5
"25",310,89.355,89.40677966,0,6.104804425,12.4375,"forest",5
"26",310,46.57,96.39830508,40.60828516,53.06279698,24.39,"forest",5
"27",310,37.7875,93.6440678,63.18207295,56.67141018,12.45875,"forest",6
"28",310,1.245,73.94067797,0,21.7593914,11.93375,"forest",3
"29",350,81.0775,16.52542373,9.958945099,2.511523629,25.04875,"forest",10
"30",350,99.985,20.33898305,23.67897845,0,12.5025,"forest",10
"31",350,95.17,20.12711864,12.95685573,56.35412572,12.5325,"forest",10
"32",350,99.8375,17.37288136,35.59842718,0,12.52,"forest",8
"33",350,0.21,0,0,42.2770269,12.52625,"forest",2
"34",160,90.54,48.30508475,33.31369178,54.24474908,12.50125,"forest",4
"35",160,93.08,40.46610169,80.47631419,14.68563822,25,"forest",4
"36",160,24.9225,60.80508475,93.54477984,20.37894504,87.5675,"forest",5
"37",160,16.45,56.77966102,65.76425628,45.28423408,74.99625,"forest",3
"38",160,21.095,52.75423729,79.28044241,19.65795441,76.975,"forest",4
"39",250,100,30.72033898,0,0,12.5,"forest",7
"40",250,88.545,25.63559322,20.8540222,100,12.5,"forest",8
"41",250,64.9475,31.99152542,51.327882,99.36517171,12.50125,"forest",10
"42",250,49.82,30.29661017,51.72691372,52.27010197,25,"forest",10
"43",250,7.41,23.30508475,57.7556709,94.5926733,37.5,"forest",5
"44",250,1.5775,40.25423729,40.56637365,64.36822519,38.69,"forest",6
"45",330,44.2925,45.33898305,0,94.37097961,37.51,"forest",12
"46",330,99.8675,60.38135593,4.919934448,73.02345857,12.38125,"forest",9
"47",330,0,22.88135593,0,98.30250409,0,"forest",3
"48",330,38.2825,11.86440678,39.42608096,86.70781512,37.70375,"forest",7
"49",330,11.4125,19.06779661,13.23112497,73.05329785,87.4475,"forest",8
"50",330,0,2.118644068,0,77.80114955,0,"forest",2
"51",170,100,54.02542373,60.60872576,91.37852162,12.5,"forest",7
"52",170,100,51.05932203,51.25857849,51.34843024,12.5,"forest",8
"53",170,96.6525,48.09322034,75.71486619,68.11408899,12.5,"forest",7
"54",170,83.0825,55.08474576,72.4294857,91.59494494,37.5,"forest",7
"55",170,56.605,73.09322034,88.02539814,79.80612947,62.50125,"forest",7
"56",170,40.1475,80.08474576,100,56.09272784,62.50125,"forest",4
"57",290,100,100,41.57853954,0,12.5,"forest",16
"58",290,100,80.08474576,15.3738533,0,12.5,"forest",13
"59",290,51.235,83.26271186,61.52195444,6.160878493,75,"forest",20
"60",290,14.01,61.44067797,54.86316127,4.4702818,100,"forest",16
"61",290,18.0325,84.11016949,26.60076321,0,62.5,"forest",13
"62",290,0,52.75423729,0,8.397127269,0,"forest",5
"63",250,99.7775,58.68644068,51.68304703,80.94786458,12.50375,"forest",3
"64",250,93.53,74.57627119,34.08580691,49.49745169,24.99875,"forest",2
"65",250,59.7575,46.8220339,59.29074861,57.30805257,37.5,"forest",1
"66",250,55.6225,29.02542373,63.76087967,42.54611543,100,"forest",3
"67",250,8.9475,1.483050847,0,58.2290944,25.00125,"forest",1
"68",250,7.2825,9.322033898,22.61248967,46.18206908,62.50125,"forest",1
"69",310,86.6725,97.24576271,65.13180223,54.39581366,12.57,"forest",7
"70",310,89.355,89.40677966,0,6.104804425,12.4375,"forest",7
"71",310,46.57,96.39830508,40.60828516,53.06279698,24.39,"forest",7
"72",310,37.7875,93.6440678,63.18207295,56.67141018,12.45875,"forest",7
"73",310,0,95.55084746,0,30.25800526,0,"forest",7
"74",310,1.245,73.94067797,0,21.7593914,11.93375,"forest",7
"75",350,81.0775,16.52542373,9.958945099,2.511523629,25.04875,"forest",10
"76",350,99.985,20.33898305,23.67897845,0,12.5025,"forest",6
"77",350,95.17,20.12711864,12.95685573,56.35412572,12.5325,"forest",14
"78",350,99.8725,22.24576271,18.93221811,0,12.51625,"forest",11
"79",350,99.8375,17.37288136,35.59842718,0,12.52,"forest",10
"80",350,0.21,0,0,42.2770269,12.52625,"forest",0
"81",160,90.54,48.30508475,33.31369178,54.24474908,12.50125,"forest",4
"82",160,93.08,40.46610169,80.47631419,14.68563822,25,"forest",4
"83",160,24.9225,60.80508475,93.54477984,20.37894504,87.5675,"forest",5
"84",160,16.45,56.77966102,65.76425628,45.28423408,74.99625,"forest",3
"85",160,21.095,52.75423729,79.28044241,19.65795441,76.975,"forest",3
"86",250,100,30.72033898,0,0,12.5,"forest",9
"87",250,88.545,25.63559322,20.8540222,100,12.5,"forest",9
"88",250,64.9475,31.99152542,51.327882,99.36517171,12.50125,"forest",11
"89",250,49.82,30.29661017,51.72691372,52.27010197,25,"forest",11
"90",250,7.41,23.30508475,57.7556709,94.5926733,37.5,"forest",6
"91",250,1.5775,40.25423729,40.56637365,64.36822519,38.69,"forest",6
"92",330,99.8675,60.38135593,4.919934448,73.02345857,12.38125,"generalist",3
"93",330,0,22.88135593,0,98.30250409,0,"generalist",2
"94",330,38.2825,11.86440678,39.42608096,86.70781512,37.70375,"generalist",3
"95",330,11.4125,19.06779661,13.23112497,73.05329785,87.4475,"generalist",3
"96",330,0,2.118644068,0,77.80114955,0,"generalist",2
"97",170,100,54.02542373,60.60872576,91.37852162,12.5,"generalist",NA
"98",170,100,51.05932203,51.25857849,51.34843024,12.5,"generalist",NA
"99",170,96.6525,48.09322034,75.71486619,68.11408899,12.5,"generalist",NA
"100",170,83.0825,55.08474576,72.4294857,91.59494494,37.5,"generalist",NA
"101",170,56.605,73.09322034,88.02539814,79.80612947,62.50125,"generalist",NA
"102",170,40.1475,80.08474576,100,56.09272784,62.50125,"generalist",NA
"103",290,100,100,41.57853954,0,12.5,"generalist",4
"104",290,100,80.08474576,15.3738533,0,12.5,"generalist",3
"105",290,51.235,83.26271186,61.52195444,6.160878493,75,"generalist",7
"106",290,14.01,61.44067797,54.86316127,4.4702818,100,"generalist",8
"107",290,18.0325,84.11016949,26.60076321,0,62.5,"generalist",7
"108",290,0,52.75423729,0,8.397127269,0,"generalist",7
"109",250,99.7775,58.68644068,51.68304703,80.94786458,12.50375,"generalist",3
"110",250,93.53,74.57627119,34.08580691,49.49745169,24.99875,"generalist",4
"111",250,59.7575,46.8220339,59.29074861,57.30805257,37.5,"generalist",3
"112",250,55.6225,29.02542373,63.76087967,42.54611543,100,"generalist",3
"113",250,8.9475,1.483050847,0,58.2290944,25.00125,"generalist",1
"114",250,7.2825,9.322033898,22.61248967,46.18206908,62.50125,"generalist",2
"115",310,86.6725,97.24576271,65.13180223,54.39581366,12.57,"generalist",4
"116",310,89.355,89.40677966,0,6.104804425,12.4375,"generalist",4
"117",310,46.57,96.39830508,40.60828516,53.06279698,24.39,"generalist",3
"118",310,37.7875,93.6440678,63.18207295,56.67141018,12.45875,"generalist",4
"119",310,1.245,73.94067797,0,21.7593914,11.93375,"generalist",5
"120",350,81.0775,16.52542373,9.958945099,2.511523629,25.04875,"generalist",4
"121",350,99.985,20.33898305,23.67897845,0,12.5025,"generalist",4
"122",350,95.17,20.12711864,12.95685573,56.35412572,12.5325,"generalist",4
"123",350,99.8375,17.37288136,35.59842718,0,12.52,"generalist",3
"124",350,0.21,0,0,42.2770269,12.52625,"generalist",2
"125",160,90.54,48.30508475,33.31369178,54.24474908,12.50125,"generalist",1
"126",160,93.08,40.46610169,80.47631419,14.68563822,25,"generalist",0
"127",160,24.9225,60.80508475,93.54477984,20.37894504,87.5675,"generalist",2
"128",160,16.45,56.77966102,65.76425628,45.28423408,74.99625,"generalist",1
"129",160,21.095,52.75423729,79.28044241,19.65795441,76.975,"generalist",3
"130",250,100,30.72033898,0,0,12.5,"generalist",1
"131",250,88.545,25.63559322,20.8540222,100,12.5,"generalist",0
"132",250,64.9475,31.99152542,51.327882,99.36517171,12.50125,"generalist",1
"133",250,49.82,30.29661017,51.72691372,52.27010197,25,"generalist",2
"134",250,7.41,23.30508475,57.7556709,94.5926733,37.5,"generalist",2
"135",250,1.5775,40.25423729,40.56637365,64.36822519,38.69,"generalist",0
"136",330,44.2925,45.33898305,0,94.37097961,37.51,"generalist",3
"137",330,99.8675,60.38135593,4.919934448,73.02345857,12.38125,"generalist",3
"138",330,0,22.88135593,0,98.30250409,0,"generalist",3
"139",330,38.2825,11.86440678,39.42608096,86.70781512,37.70375,"generalist",3
"140",330,11.4125,19.06779661,13.23112497,73.05329785,87.4475,"generalist",2
"141",330,0,2.118644068,0,77.80114955,0,"generalist",2
"142",170,100,54.02542373,60.60872576,91.37852162,12.5,"generalist",NA
"143",170,100,51.05932203,51.25857849,51.34843024,12.5,"generalist",NA
"144",170,96.6525,48.09322034,75.71486619,68.11408899,12.5,"generalist",NA
"145",170,83.0825,55.08474576,72.4294857,91.59494494,37.5,"generalist",NA
"146",170,56.605,73.09322034,88.02539814,79.80612947,62.50125,"generalist",NA
"147",170,40.1475,80.08474576,100,56.09272784,62.50125,"generalist",NA
"148",290,100,100,41.57853954,0,12.5,"generalist",4
"149",290,100,80.08474576,15.3738533,0,12.5,"generalist",4
"150",290,51.235,83.26271186,61.52195444,6.160878493,75,"generalist",6
"151",290,14.01,61.44067797,54.86316127,4.4702818,100,"generalist",6
"152",290,18.0325,84.11016949,26.60076321,0,62.5,"generalist",7
"153",290,0,52.75423729,0,8.397127269,0,"generalist",5
"154",250,99.7775,58.68644068,51.68304703,80.94786458,12.50375,"generalist",4
"155",250,93.53,74.57627119,34.08580691,49.49745169,24.99875,"generalist",4
"156",250,59.7575,46.8220339,59.29074861,57.30805257,37.5,"generalist",3
"157",250,55.6225,29.02542373,63.76087967,42.54611543,100,"generalist",4
"158",250,8.9475,1.483050847,0,58.2290944,25.00125,"generalist",1
"159",250,7.2825,9.322033898,22.61248967,46.18206908,62.50125,"generalist",2
"160",310,86.6725,97.24576271,65.13180223,54.39581366,12.57,"generalist",5
"161",310,89.355,89.40677966,0,6.104804425,12.4375,"generalist",5
"162",310,46.57,96.39830508,40.60828516,53.06279698,24.39,"generalist",4
"163",310,37.7875,93.6440678,63.18207295,56.67141018,12.45875,"generalist",5
"164",310,0,95.55084746,0,30.25800526,0,"generalist",5
"165",310,1.245,73.94067797,0,21.7593914,11.93375,"generalist",7
"166",350,81.0775,16.52542373,9.958945099,2.511523629,25.04875,"generalist",4
"167",350,99.985,20.33898305,23.67897845,0,12.5025,"generalist",4
"168",350,95.17,20.12711864,12.95685573,56.35412572,12.5325,"generalist",3
"169",350,99.8725,22.24576271,18.93221811,0,12.51625,"generalist",4
"170",350,99.8375,17.37288136,35.59842718,0,12.52,"generalist",3
"171",350,0.21,0,0,42.2770269,12.52625,"generalist",0
"172",160,90.54,48.30508475,33.31369178,54.24474908,12.50125,"generalist",1
"173",160,93.08,40.46610169,80.47631419,14.68563822,25,"generalist",0
"174",160,24.9225,60.80508475,93.54477984,20.37894504,87.5675,"generalist",1
"175",160,16.45,56.77966102,65.76425628,45.28423408,74.99625,"generalist",1
"176",160,21.095,52.75423729,79.28044241,19.65795441,76.975,"generalist",3
"177",250,100,30.72033898,0,0,12.5,"generalist",1
"178",250,88.545,25.63559322,20.8540222,100,12.5,"generalist",0
"179",250,64.9475,31.99152542,51.327882,99.36517171,12.50125,"generalist",1
"180",250,49.82,30.29661017,51.72691372,52.27010197,25,"generalist",3
"181",250,7.41,23.30508475,57.7556709,94.5926733,37.5,"generalist",2
"182",250,1.5775,40.25423729,40.56637365,64.36822519,38.69,"generalist",1
"183",330,99.8675,60.38135593,4.919934448,73.02345857,12.38125,"open",1
"184",330,0,22.88135593,0,98.30250409,0,"open",8
"185",330,38.2825,11.86440678,39.42608096,86.70781512,37.70375,"open",7
"186",330,11.4125,19.06779661,13.23112497,73.05329785,87.4475,"open",3
"187",330,0,2.118644068,0,77.80114955,0,"open",7
"188",170,100,54.02542373,60.60872576,91.37852162,12.5,"open",1
"189",170,100,51.05932203,51.25857849,51.34843024,12.5,"open",0
"190",170,96.6525,48.09322034,75.71486619,68.11408899,12.5,"open",2
"191",170,83.0825,55.08474576,72.4294857,91.59494494,37.5,"open",1
"192",170,56.605,73.09322034,88.02539814,79.80612947,62.50125,"open",1
"193",170,40.1475,80.08474576,100,56.09272784,62.50125,"open",0
"194",290,100,100,41.57853954,0,12.5,"open",0
"195",290,100,80.08474576,15.3738533,0,12.5,"open",1
"196",290,51.235,83.26271186,61.52195444,6.160878493,75,"open",3
"197",290,14.01,61.44067797,54.86316127,4.4702818,100,"open",3
"198",290,18.0325,84.11016949,26.60076321,0,62.5,"open",5
"199",290,0,52.75423729,0,8.397127269,0,"open",5
"200",250,99.7775,58.68644068,51.68304703,80.94786458,12.50375,"open",0
"201",250,93.53,74.57627119,34.08580691,49.49745169,24.99875,"open",0
"202",250,59.7575,46.8220339,59.29074861,57.30805257,37.5,"open",0
"203",250,55.6225,29.02542373,63.76087967,42.54611543,100,"open",0
"204",250,8.9475,1.483050847,0,58.2290944,25.00125,"open",1
"205",250,7.2825,9.322033898,22.61248967,46.18206908,62.50125,"open",2
"206",310,86.6725,97.24576271,65.13180223,54.39581366,12.57,"open",0
"207",310,89.355,89.40677966,0,6.104804425,12.4375,"open",0
"208",310,46.57,96.39830508,40.60828516,53.06279698,24.39,"open",0
"209",310,37.7875,93.6440678,63.18207295,56.67141018,12.45875,"open",2
"210",310,1.245,73.94067797,0,21.7593914,11.93375,"open",2
"211",350,81.0775,16.52542373,9.958945099,2.511523629,25.04875,"open",5
"212",350,99.985,20.33898305,23.67897845,0,12.5025,"open",5
"213",350,95.17,20.12711864,12.95685573,56.35412572,12.5325,"open",4
"214",350,99.8375,17.37288136,35.59842718,0,12.52,"open",4
"215",350,0.21,0,0,42.2770269,12.52625,"open",5
"216",160,90.54,48.30508475,33.31369178,54.24474908,12.50125,"open",0
"217",160,93.08,40.46610169,80.47631419,14.68563822,25,"open",0
"218",160,24.9225,60.80508475,93.54477984,20.37894504,87.5675,"open",1
"219",160,16.45,56.77966102,65.76425628,45.28423408,74.99625,"open",0
"220",160,21.095,52.75423729,79.28044241,19.65795441,76.975,"open",1
"221",250,100,30.72033898,0,0,12.5,"open",0
"222",250,88.545,25.63559322,20.8540222,100,12.5,"open",0
"223",250,64.9475,31.99152542,51.327882,99.36517171,12.50125,"open",0
"224",250,49.82,30.29661017,51.72691372,52.27010197,25,"open",0
"225",250,7.41,23.30508475,57.7556709,94.5926733,37.5,"open",1
"226",250,1.5775,40.25423729,40.56637365,64.36822519,38.69,"open",1
"227",330,44.2925,45.33898305,0,94.37097961,37.51,"open",2
"228",330,99.8675,60.38135593,4.919934448,73.02345857,12.38125,"open",1
"229",330,0,22.88135593,0,98.30250409,0,"open",10
"230",330,38.2825,11.86440678,39.42608096,86.70781512,37.70375,"open",8
"231",330,11.4125,19.06779661,13.23112497,73.05329785,87.4475,"open",4
"232",330,0,2.118644068,0,77.80114955,0,"open",9
"233",170,100,54.02542373,60.60872576,91.37852162,12.5,"open",0
"234",170,100,51.05932203,51.25857849,51.34843024,12.5,"open",1
"235",170,96.6525,48.09322034,75.71486619,68.11408899,12.5,"open",0
"236",170,83.0825,55.08474576,72.4294857,91.59494494,37.5,"open",1
"237",170,56.605,73.09322034,88.02539814,79.80612947,62.50125,"open",1
"238",170,40.1475,80.08474576,100,56.09272784,62.50125,"open",2
"239",290,100,100,41.57853954,0,12.5,"open",0
"240",290,100,80.08474576,15.3738533,0,12.5,"open",0
"241",290,51.235,83.26271186,61.52195444,6.160878493,75,"open",2
"242",290,14.01,61.44067797,54.86316127,4.4702818,100,"open",3
"243",290,18.0325,84.11016949,26.60076321,0,62.5,"open",2
"244",290,0,52.75423729,0,8.397127269,0,"open",5
"245",250,99.7775,58.68644068,51.68304703,80.94786458,12.50375,"open",1
"246",250,93.53,74.57627119,34.08580691,49.49745169,24.99875,"open",0
"247",250,59.7575,46.8220339,59.29074861,57.30805257,37.5,"open",0
"248",250,55.6225,29.02542373,63.76087967,42.54611543,100,"open",0
"249",250,8.9475,1.483050847,0,58.2290944,25.00125,"open",1
"250",250,7.2825,9.322033898,22.61248967,46.18206908,62.50125,"open",2
"251",310,86.6725,97.24576271,65.13180223,54.39581366,12.57,"open",1
"252",310,89.355,89.40677966,0,6.104804425,12.4375,"open",0
"253",310,46.57,96.39830508,40.60828516,53.06279698,24.39,"open",1
"254",310,37.7875,93.6440678,63.18207295,56.67141018,12.45875,"open",1
"255",310,0,95.55084746,0,30.25800526,0,"open",1
"256",310,1.245,73.94067797,0,21.7593914,11.93375,"open",3
"257",350,81.0775,16.52542373,9.958945099,2.511523629,25.04875,"open",4
"258",350,99.985,20.33898305,23.67897845,0,12.5025,"open",0
"259",350,95.17,20.12711864,12.95685573,56.35412572,12.5325,"open",2
"260",350,99.8725,22.24576271,18.93221811,0,12.51625,"open",3
"261",350,99.8375,17.37288136,35.59842718,0,12.52,"open",3
"262",350,0.21,0,0,42.2770269,12.52625,"open",3
"263",160,90.54,48.30508475,33.31369178,54.24474908,12.50125,"open",0
"264",160,93.08,40.46610169,80.47631419,14.68563822,25,"open",0
"265",160,24.9225,60.80508475,93.54477984,20.37894504,87.5675,"open",1
"266",160,16.45,56.77966102,65.76425628,45.28423408,74.99625,"open",0
"267",160,21.095,52.75423729,79.28044241,19.65795441,76.975,"open",1
"268",250,100,30.72033898,0,0,12.5,"open",0
"269",250,88.545,25.63559322,20.8540222,100,12.5,"open",0
"270",250,64.9475,31.99152542,51.327882,99.36517171,12.50125,"open",0
"271",250,49.82,30.29661017,51.72691372,52.27010197,25,"open",0
"272",250,7.41,23.30508475,57.7556709,94.5926733,37.5,"open",0
"273",250,1.5775,40.25423729,40.56637365,64.36822519,38.69,"open",1
